Event ID, start date (YMD), end date (YMD), SSE centroid longitude, SSE centroid latitude, SSE centroid depth (km), Mw, SSE duration (days), SSE area (km^2), distance nucleation point-arrest point (km)
1, 2007 1 21, 2007 2 16, -123.74262577400745, 47.84681787411123, 36.53024754102561, 6.682397165762652, 27, 174249.21373272318, 144.85314030298395
2, 2007 6 18, 2007 7 10, -123.48549269402666, 45.51438389986313, 32.06407117874197, 6.272064752515781, 23, 63198.01802347557, 63.899388060533056
3, 2007 6 29, 2007 7 23, -123.624796123211, 43.44585425881591, 32.290770012364156, 6.067508737824261, 25, 42847.03191443725, 32.66864717053299
4, 2007 9 28, 2007 10 29, -125.32262924331249, 49.19300711087028, 31.79175619964428, 6.290488816835443, 32, 65169.14419380036, 0.0
5, 2008 4 16, 2008 5 15, -123.56677316223573, 40.9869352320251, 31.68214568023527, 6.042021723727047, 30, 36258.49700541716, 59.11342072799812
6, 2008 5 2, 2008 6 13, -124.00278474075698, 48.23673736521693, 35.975696169681925, 6.628215306592181, 43, 150025.77523877035, 169.32640313699633
7, 2008 5 23, 2008 6 23, -123.63166503230961, 43.97998285513685, 31.41503586911479, 6.282826464328843, 32, 63375.46383464368, 152.78043668840013
8, 2008 12 15, 2008 12 25, -124.33129402417194, 49.12055061336022, 42.125378423876725, 6.117494522149325, 10, 60975.72706072805, 18.126931628665936
9, 2008 12 15, 2009 1 1, -123.28889015941999, 45.16891755255219, 35.1485421886244, 6.104691935969938, 17, 56585.34717820555, 52.79393551701699
10, 2009 2 15, 2009 4 1, -125.56162183750187, 49.21536175549913, 29.268611072297027, 6.4946066422290665, 46, 101404.07218586125, 32.161726189042525
11, 2009 3 1, 2009 4 3, -123.81370259976963, 42.116862791511274, 30.065646373965606, 6.361750970940147, 34, 59725.02060957695, 197.44952838837747
12, 2009 5 3, 2009 6 3, -123.49071745109862, 47.83013914230011, 37.444115353742085, 6.336835672138869, 32, 83096.56519973704, nan
13, 2009 5 31, 2009 6 10, -124.16260929485175, 48.70030498059313, 37.253574703609424, 5.188857050301437, 11, 6742.44291080729, 0.0
14, 2009 5 31, 2009 6 10, -124.04957168501639, 48.644762842095474, 37.49452472644079, 5.0189825904745, 11, 7579.1449625322375, 67.22628783628488
15, 2009 8 6, 2009 9 26, -123.51695298947698, 45.96695273384378, 32.27507279936233, 6.734337337561194, 52, 164633.27704056073, 168.67712480219112
16, 2010 2 4, 2010 3 1, -123.82736872867514, 42.02973966963636, 29.79553658223069, 6.065487475513404, 26, 38505.31245970501, 85.06973192877949
17, 2010 2 26, 2010 3 17, -125.30633629754301, 49.06261907576177, 30.222050867015483, 5.940835113836697, 20, 42513.30726969329, 83.73296326340909
18, 2010 3 16, 2010 4 12, -123.5698014690849, 43.85128176257618, 32.4515425166, 5.9823317158542855, 28, 32874.094964779055, 19.12756366433397
19, 2010 8 7, 2010 9 9, -123.70555107523546, 47.80685422871816, 35.84620089722167, 6.63469833120918, 34, 145545.86082555872, 173.3661085334723
20, 2011 1 13, 2011 2 5, -123.77748178325577, 43.30105173716368, 29.431865710264027, 6.024238785801774, 24, 38726.518300201584, 54.69869552965099
21, 2011 5 15, 2011 6 12, -125.6602881767434, 49.25559400488866, 28.811729831701225, 6.289993102975128, 29, 81072.0197923002, 102.73808813355602
22, 2011 5 15, 2011 6 2, -123.91480488105069, 42.21768584820338, 27.10243852064058, 5.767477103626849, 19, 22742.155831166383, 30.000687161425066
23, 2011 6 9, 2011 9 22, -123.62158297826831, 46.64773277952458, 33.55933520440845, 6.835949842957846, 106, 241583.7718355346, 528.2335648706336
24, 2011 8 30, 2011 9 17, -124.1999023956354, 41.04279068562078, 17.521759700303328, 5.847068455897655, 19, 14276.908301696098, 0.0
25, 2011 8 30, 2011 10 1, -125.83297929326756, 49.374762319285495, 28.701634244858518, 6.249053577896411, 33, 69550.78940002924, 54.70246310894326
26, 2011 10 23, 2011 11 14, -123.58788410639546, 41.07443075886113, 31.58008382044021, 5.901811463900412, 23, 33288.06332091509, 38.30836746203938
27, 2012 1 28, 2012 3 1, -124.37998708522873, 47.65437764994288, 24.62441659736423, 6.0481198559323195, 34, 28000.659188529036, 19.175645019127632
28, 2012 5 11, 2012 5 24, -123.54870240874456, 43.878654731645376, 33.209925700944595, 5.777474237756372, 14, 24669.979506068943, 103.39589172988873
29, 2012 8 28, 2012 10 16, -124.51949894286479, 48.46082995352993, 33.029945859551624, 6.741448465141276, 50, 208882.01139659347, 249.21326954120164
30, 2012 9 29, 2012 10 22, -123.61553370044979, 43.45994601678737, 32.63902773494879, 6.169179477055784, 24, 45798.09155496419, 18.33811135881465
31, 2012 10 15, 2012 11 19, -123.41625874267842, 40.82678436880791, 34.29949970067251, 6.069848997846569, 36, 30810.325673936233, 64.98608830189319
32, 2013 3 3, 2013 4 27, -123.44273597009006, 45.7557438372594, 33.067547656577965, 6.516308565149912, 56, 127076.03462553625, 263.6018623527443
33, 2013 4 27, 2013 5 29, -124.11364157293478, 41.01479776557529, 18.95690371604598, 5.757969254524443, 33, 11565.617850088089, 16.86784943350735
34, 2013 7 25, 2013 8 11, -123.92131895787531, 42.06811999131569, 27.781946905665013, 6.13859729606369, 18, 45519.85808674839, 34.544181203173906
35, 2013 9 14, 2013 10 29, -124.3188768098125, 48.4307490081424, 34.319678225282566, 6.644296657202033, 46, 165117.19692815974, 161.26830070192798
36, 2014 2 2, 2014 3 16, -123.5889836503814, 44.00309688314265, 31.651898652672607, 6.327360246651221, 43, 68607.51448763948, 198.5509560621004
37, 2014 3 9, 2014 3 22, -124.12452081787856, 42.1613096671382, 21.931142700874016, 5.562793715466051, 14, 17838.907129123003, 33.15561466778659
38, 2014 4 10, 2014 5 1, -127.1037100922145, 49.61119590999843, 17.108657499623792, 6.073861989918189, 22, 19340.5871713703, 0.0
39, 2014 6 11, 2014 7 11, -123.35497187173932, 46.63906803057121, 34.4752846547379, 6.28342417426031, 31, 64914.94801202894, 55.56173020900437
40, 2014 7 18, 2014 9 4, -123.88523522084259, 41.97632050041366, 28.005605820844476, 6.131773422671497, 49, 44147.36860808813, 19.38728880483554
41, 2014 8 29, 2014 9 23, -123.30214724202388, 47.196749013138344, 36.281869128893, 6.192182023313847, 26, 52843.22490319658, 57.46760101417735
42, 2014 10 20, 2014 10 30, -123.50202629511377, 44.90298287418467, 31.838710666852982, 5.321379839023631, 11, 8280.316342060813, 0.0
43, 2014 11 8, 2014 12 29, -124.21082164229068, 48.41056363587251, 35.60285294965789, 6.662993406261976, 51, 163631.5846018868, 207.71853821803595
44, 2015 6 22, 2015 7 13, -123.83131021918665, 43.46890394640236, 27.868838227370222, 5.641884927189408, 19, 18660.603168430283, 38.46216239608049
45, 2015 8 2, 2015 8 19, -126.81722346179187, 49.704040423372255, 21.497262178005386, 5.861701741535324, 18, 22397.937522460623, nan
46, 2015 8 12, 2015 8 22, -124.57984379853815, 48.53920519703579, 31.56894011564928, 5.160857919358339, 11, 6289.315971898823, 17.979868702251704
47, 2015 10 19, 2015 11 5, -123.74232956833907, 41.61986246853629, 30.137449670992915, 6.221205404412945, 18, 58603.490485287, 33.021312065129386
48, 2015 12 24, 2016 3 11, -123.99534568914441, 47.004695452161506, 32.55509775222049, 6.985712090601679, 79, 341134.05112355214, 462.64542823629654
49, 2016 3 16, 2016 3 22, -124.69361437441248, 48.185719880904976, 26.753493795506145, 5.0472814279476035, 7, 5841.9685307660375, 0.0
50, 2016 3 17, 2016 3 18, -124.73928524864066, 48.20488999486214, 26.47218007242126, 4.940362495896644, 2, 4984.809914408691, 0.0
51, 2016 3 20, 2016 3 20, nan, nan, nan, -inf, 1, 0.0, nan
52, 2016 3 21, 2016 3 21, nan, nan, nan, -inf, 1, 0.0, nan
53, 2016 8 30, 2016 9 20, -123.84140520564966, 41.98214011098244, 28.952359685175463, 6.044377693811229, 22, 40323.34505574401, 49.51741295411595
54, 2016 10 1, 2016 10 19, -123.58648708405983, 43.468851291676195, 32.2812815835507, 5.735031195024624, 18, 20433.783565414215, 31.393788548740265
55, 2016 10 19, 2016 11 17, -126.75355398939169, 49.64954106671742, 21.457029085051477, 5.917284078091108, 30, 24852.087108942153, 63.52315703762852
56, 2017 2 14, 2017 3 7, -123.29900806593166, 47.53884733053586, 38.11169959104934, 6.296095885423759, 22, 73138.28729126063, 47.963454805504696
57, 2017 3 18, 2017 4 23, -124.29535037618206, 48.470292974606025, 34.49792663440609, 6.595015442954888, 37, 135269.59031510568, 92.95054680902504
58, 2017 11 13, 2017 12 12, -125.95965670647635, 49.441743433899525, 28.144197039505954, 5.996337937390108, 30, 38777.002907126654, 49.928977117672545
59, 2017 12 2, 2017 12 31, -124.67906273481343, 48.21577502204625, 26.829659786853988, 6.059641980081427, 30, 31764.122683428744, 0.0
60, 2017 12 7, 2018 2 12, -123.5363023487613, 45.92238466097355, 31.84819200002112, 6.7061359644661005, 68, 157410.07558898095, 338.2587629826511
61, 2017 12 28, 2018 1 24, -123.6101176220364, 43.1264226562471, 32.88235194070795, 5.8973450348175795, 28, 26375.89912369952, 36.23605117540894
62, 2018 1 31, 2018 3 7, -124.83011418407897, 48.23260682564012, 25.316607109380936, 6.136918816460956, 36, 30716.4894592674, 57.29851467039518
63, 2018 5 12, 2018 6 4, -123.39627937723063, 47.457260865556584, 36.37352115626169, 6.4274769256763955, 24, 81540.16871447852, 63.542528441667585
64, 2018 6 18, 2018 7 22, -124.28252361339595, 48.45792042888656, 34.642265751567784, 6.661426970862023, 35, 142785.0263637387, 181.21076648167673
65, 2018 7 27, 2018 8 6, -124.04921055527905, 44.53235909662306, 25.12617770669332, 5.304251388513721, 11, 5965.580358440864, 0.0
66, 2018 8 3, 2018 8 3, -124.05286428726191, 44.509707264804675, 25.02249522694608, 4.054368612619297, 1, 460.6828482450147, 0.0
67, 2018 11 1, 2018 12 1, -123.89721059849926, 42.106979523402, 28.350434254731766, 6.272316038019384, 31, 53803.908192411975, 31.384122479791685
68, 2018 12 2, 2018 12 8, -124.64773616209764, 48.266996657940616, 28.038453802304442, 5.344051711767187, 7, 9588.99774311547, 262.28695134272823
69, 2018 12 30, 2019 1 26, -124.70323758227306, 48.22765699391855, 26.871410152578374, 5.741291740499054, 28, 18799.25005650775, 0.0
70, 2019 1 9, 2019 2 3, -126.0673093930692, 49.46218359655602, 27.18201924356394, 6.117761741472058, 26, 46911.16304273571, 30.301685571447486
71, 2019 1 26, 2019 2 4, -124.72564371882876, 48.207033274835716, 26.623005010451138, 5.096885508812826, 10, 4980.923785696124, 0.0
